Date,AFL,ALB,AOS,APD,ATO,BFB,BRO,CHRW,CINF,CLX,CL,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2021-05,0.33,0.0,0.0,0.0,0.625,0.0,0.093,0.0,0.0,0.0,0.0,1.34,0.495,0.0,0.58,0.0,1.62,0.0,1.567878,0.0,1.06,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.227713,0.0,0.54,0.0,0.77,0.0,0.0,0.68,0.0,0.183333,0.0,0.87
2021-06,0.0,0.39,0.0,1.5,0.0,0.18,0.0,0.51,0.63,0.0,0.0,0.0,0.0,2.09,0.0,1.06,0.0,0.0,0.0,1.14,0.0,1.14,0.42,0.0,0.0,0.0,0.405,0.04,0.228682,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.08,0.0,0.0,0.0
2021-06,0.0,0.39,0.0,1.5,0.0,0.18,0.0,0.51,0.63,0.0,0.0,0.0,0.0,2.09,0.0,1.06,0.0,0.0,0.0,1.14,0.0,1.14,0.42,0.0,0.0,0.0,0.405,0.04,0.228682,0.0,0.0,0.0,0.0,0.7,0.0,0.0,3.0,0.0,0.0,0.0
2021-07,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.8,0.34,0.0,0.0,0.0,0.228682,0.2,0.0,0.563,0.0,0.0,0.47,0.0,0.0,0.0,0.17,0.0
2021-08,0.33,0.0,0.0,0.0,0.625,0.0,0.093,0.0,0.0,0.0,0.0,1.34,0.5,0.0,0.0,0.0,1.62,0.0,1.567878,0.0,1.06,0.0,0.0,0.0,0.0,1.48,0.0,0.04,0.228682,0.0,0.59,0.0,0.77,0.0,0.0,0.9,0.0,0.183333,0.0,0.87
2021-09,0.0,0.39,0.0,1.5,0.0,0.18,0.0,0.51,0.63,0.0,0.0,0.0,0.0,2.09,0.0,1.07,0.0,0.0,0.0,1.22,0.0,1.14,0.42,0.0,0.0,0.0,0.405,0.0,0.228682,0.0,0.0,0.0,0.0,0.79,0.47,0.0,1.08,0.0,0.0,0.0
2021-10,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.8,0.34,0.0,0.0,0.0,0.0,0.2,0.0,0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,0.33,0.0,0.0,0.0,0.68,0.0,0.103,0.0,0.0,0.0,0.0,1.34,0.5,0.0,0.58,0.0,1.62,0.0,1.64,0.0,1.06,0.0,0.42,0.0,0.0,1.48,0.0,0.0,0.228682,0.0,0.59,0.0,0.77,0.79,0.0,0.9,0.0,0.0,0.18,0.88
2021-11,0.33,0.0,0.0,0.0,0.68,0.0,0.103,0.0,0.0,0.0,0.0,1.34,0.5,0.0,0.58,0.0,1.62,0.0,1.64,0.0,1.06,0.0,0.42,0.0,0.0,1.48,0.0,0.0,0.246,0.0,0.59,0.0,0.77,0.79,0.0,0.9,0.0,0.0,0.18,0.88
2021-12,0.0,0.39,0.0,1.5,0.0,0.189,0.0,0.55,0.63,0.0,0.0,0.0,0.0,2.09,0.0,1.07,0.0,0.0,0.0,1.22,0.0,1.14,0.0,0.0,0.37,0.0,0.5,0.04,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.183333,0.0,0.0
