Date,AFL,ALB,AOS,APD,ATO,BF-B,BRO,CHRW,CINF,CL,CLX,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2019-05-16,2456800,1497200,13528800,974200,670100,1597100,644600,1631500,899400,3581300,714400,8543300,670500,208200,1141900,461200,310800,3112300,3156096,1018300,6857200,1248100,17771300,2860300,1000000,4831242,1173000,78108800,2016631,1320200,1211200,304000,885300,2599000,2923800,4476200,940300,51366000,349000,8105200
2019-05-17,2905700,1406300,8016300,1130600,2563400,829000,779500,809000,970300,2764200,1117600,6870900,722800,335900,1498200,871200,659200,4925500,2739579,1233000,6915300,1028100,11257000,3712900,1000000,5495620,2709800,102206800,1475038,1610000,1676100,296200,1686700,1356600,2493600,3891200,917900,37113900,176200,9279400
2019-05-20,3161300,1206300,3084100,1391800,985200,814600,733000,1009200,956800,3149900,1067200,4569700,670100,165800,962400,545700,494400,2855800,3414667,1014600,4771100,1495100,13850500,4452200,1000000,5232022,1939900,57206400,1851408,1476000,1976300,431500,1067500,1036900,2041900,5750100,796000,21582300,354400,7154300
2019-05-21,2556100,1100100,3063100,1294900,717100,967000,813300,718700,890100,2538200,1062100,4859400,733600,218400,1291400,511000,408700,4019100,2618661,889700,4859000,1427600,10587400,6415500,1000000,4961247,1771000,36184800,1645937,2929800,1726700,365800,1696800,1030700,1595200,7705900,485200,20667300,241400,8489900
2019-05-22,2177200,734100,2069300,976900,579100,764900,528000,755600,754100,3862500,1074200,5763300,1102300,180200,669700,619100,723900,4689000,1934891,872000,5456800,1049600,16050400,22721500,1000000,5387023,2003400,32586800,1766990,1454500,1367400,255700,1288300,907700,1525900,20777800,500400,22022700,132300,7858300
2019-05-23,2607800,2144900,2158300,1065600,773300,1402200,799100,1542800,668600,2855100,988600,11000200,838600,208700,914900,680400,561200,9823000,5589196,1986200,6951800,1187400,12199400,12687500,1000000,4580919,2553000,59184400,2458327,2661600,1499700,280000,1046500,1155100,1684100,11619600,1123100,19363800,196100,14657200
2019-05-24,2540200,1544400,1156300,776000,664200,678100,1041800,1453500,435200,2267800,728700,4890800,571600,293500,575300,371400,403800,5651400,2715521,1041400,5473300,871900,6887600,7096200,972800,2830812,1836700,35758400,1347379,1336100,986600,410300,1275500,584800,2137000,7851700,766700,13449600,154700,7056400
2019-05-28,4302100,1514500,1864700,2362700,1327100,2477400,689100,1994300,1177100,3327700,1592000,8145100,844300,422800,1820900,1666900,483500,7067200,5134605,3252300,11919600,1720900,18614000,11747200,5000000,5830620,3851400,42835600,2237892,2573800,1468000,699000,1593600,1119100,2393400,6522700,1607300,30815100,141500,14912900
2019-05-29,2603800,1783800,5460000,1183700,965100,1119000,620900,1260200,701600,3580200,1285800,7451300,1241600,339500,1223500,588700,531100,4272100,3848234,1726400,23247400,1243400,12534600,9281500,1000000,4388124,2870800,55980000,1676381,2541100,1200600,394100,1237900,782500,3038900,5772200,974200,19560600,161600,13645200
2019-05-30,1907300,1167400,2441600,752000,729600,830600,658600,1400600,456200,1834400,1148100,5807900,554000,250400,788000,298600,738000,1921200,2868027,1480400,7360600,889300,9087200,5709600,1000000,2964525,2921300,39430000,1103414,1040100,619100,264900,733800,1051600,2005500,3996900,831800,15058800,124400,9362100
